YEAR;MONTH_NUM;MONTH_MON;FLT_DATE;ENTITY_NAME;ENTITY_TYPE;CPLX_FLIGHT_HRS;CPLX_INTER;VERTICAL_INTER_HRS;HORIZ_INTER_HRS;SPEED_INTER_HRS;BADA_VERSION
2017;1;JAN;01-01-2017;ANS CR;ANSP (AUA);450.52;65.60;8.18;34.50;7.55;3.13.1
2017;1;JAN;01-01-2017;ANS Finland;ANSP (AUA);164.11;3.21;0.67;1.22;0.30;3.13.1
2017;1;JAN;01-01-2017;ARMATS;ANSP (AUA);31.89;1.26;0.10;0.21;0.07;3.13.1
2017;1;JAN;01-01-2017;Albcontrol;ANSP (AUA);73.24;5.80;0.07;1.95;0.15;3.13.1
2017;1;JAN;01-01-2017;Austro Control;ANSP (AUA);430.72;43.61;6.22;25.32;5.24;3.13.1
2017;1;JAN;01-01-2017;Avinor (Continental);ANSP (AUA);504.52;14.63;3.50;6.85;2.41;3.13.1
2017;1;JAN;01-01-2017;BULATSA;ANSP (AUA);517.36;65.53;4.39;22.44;3.35;3.13.1
2017;1;JAN;01-01-2017;Croatia Control;ANSP (AUA);346.53;27.02;1.39;17.04;0.92;3.13.1
2017;1;JAN;01-01-2017;DCAC Cyprus;ANSP (AUA);354.81;25.52;3.25;10.78;0.93;3.13.1
2017;1;JAN;01-01-2017;DFS;ANSP (AUA);1997.58;254.72;56.59;159.28;32.45;3.13.1
2017;1;JAN;01-01-2017;DHMI;ANSP (AUA);2742.21;429.95;62.22;131.61;27.82;3.13.1
2017;1;JAN;01-01-2017;DSNA;ANSP (AUA);4265.24;662.70;92.85;299.17;36.04;3.13.1
2017;1;JAN;01-01-2017;EANS;ANSP (AUA);149.75;7.38;1.20;2.89;0.59;3.13.1
2017;1;JAN;01-01-2017;ENAIRE;ANSP (AUA);2707.83;311.97;31.82;111.76;9.04;3.13.1
2017;1;JAN;01-01-2017;ENAV;ANSP (AUA);1606.97;98.71;25.08;62.04;8.60;3.13.1
2017;1;JAN;01-01-2017;HCAA;ANSP (AUA);777.85;38.62;2.46;16.04;1.56;3.13.1
2017;1;JAN;01-01-2017;HungaroControl;ANSP (AUA);426.34;44.09;2.89;20.35;4.90;3.13.1
2017;1;JAN;01-01-2017;IAA;ANSP (AUA);581.25;31.48;2.38;9.11;1.66;3.13.1
2017;1;JAN;01-01-2017;LFV;ANSP (AUA);697.83;25.56;4.56;14.72;2.56;3.13.1
2017;1;JAN;01-01-2017;LGS;ANSP (AUA);146.52;6.65;0.60;3.69;0.51;3.13.1
2017;1;JAN;01-01-2017;LPS;ANSP (AUA);174.22;21.30;1.89;10.12;2.24;3.13.1
2017;1;JAN;01-01-2017;LVNL;ANSP (AUA);146.27;18.95;2.91;8.21;1.72;3.13.1
2017;1;JAN;01-01-2017;M-NAV;ANSP (AUA);35.96;1.54;0.14;0.47;0.02;3.13.1
2017;1;JAN;01-01-2017;MATS;ANSP (AUA);150.57;3.78;0.23;1.23;0.23;3.13.1
2017;1;JAN;01-01-2017;MOLDATSA;ANSP (AUA);9.87;0.11;0.00;0.04;0.00;3.13.1
2017;1;JAN;01-01-2017;MUAC;ANSP (AUA);1344.85;202.99;47.59;121.18;18.94;3.13.1
2017;1;JAN;01-01-2017;NATS (Continental);ANSP (AUA);2155.93;298.45;100.64;135.37;32.13;3.13.1
2017;1;JAN;01-01-2017;NAV Portugal (Continental);ANSP (AUA);960.97;94.90;7.83;31.08;1.49;3.13.1
2017;1;JAN;01-01-2017;NAVIAIR;ANSP (AUA);317.47;16.90;2.80;10.00;1.16;3.13.1
2017;1;JAN;01-01-2017;Oro Navigacija;ANSP (AUA);101.71;3.80;0.30;2.01;0.31;3.13.1
2017;1;JAN;01-01-2017;PANSA;ANSP (AUA);751.39;44.86;5.80;25.45;5.57;3.13.1
2017;1;JAN;01-01-2017;ROMATSA;ANSP (AUA);625.57;65.68;2.38;24.89;6.22;3.13.1
2017;1;JAN;01-01-2017;SMATSA;ANSP (AUA);391.93;34.13;1.66;18.16;1.46;3.13.1
2017;1;JAN;01-01-2017;Sakaeronavigatsia;ANSP (AUA);100.21;9.45;0.33;3.12;0.40;3.13.1
2017;1;JAN;01-01-2017;Skyguide;ANSP (AUA);548.84;77.71;21.80;48.53;10.61;3.13.1
