FLT_DATE,YEAR,MONTH_NUM,MONTH_MON,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2017-01-01,2017.0,1.0,JAN,ANS CR,ANSP (AUA),450.52,65.6,8.18,31.05,7.55,3.13.1
2017-01-01,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),164.11,3.21,0.67,1.098,0.3,3.13.1
2017-01-01,2017.0,1.0,JAN,ARMATS,ANSP (AUA),31.89,1.26,0.1,0.189,0.07,3.13.1
2017-01-01,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),73.24,5.8,0.07,1.755,0.15,3.13.1
2017-01-01,2017.0,1.0,JAN,Austro Control,ANSP (AUA),430.72,43.61,6.22,22.788,5.24,3.13.1
2017-01-01,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),504.52,14.63,3.5,6.165,2.41,3.13.1
2017-01-01,2017.0,1.0,JAN,BULATSA,ANSP (AUA),517.36,65.53,4.39,20.196,3.35,3.13.1
2017-01-01,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),346.53,27.02,1.39,15.336,0.92,3.13.1
2017-01-01,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),354.81,25.52,3.25,9.702,0.93,3.13.1
2017-01-01,2017.0,1.0,JAN,DFS,ANSP (AUA),1997.58,254.72,56.59,143.352,32.45,3.13.1
2017-01-01,2017.0,1.0,JAN,DHMI,ANSP (AUA),2742.21,429.95,62.22,118.44900000000001,27.82,3.13.1
2017-01-01,2017.0,1.0,JAN,DSNA,ANSP (AUA),4265.24,662.7,92.85,269.25300000000004,36.04,3.13.1
2017-01-01,2017.0,1.0,JAN,EANS,ANSP (AUA),149.75,7.38,1.2,2.601,0.59,3.13.1
2017-01-01,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2707.83,311.97,31.82,100.584,9.04,3.13.1
2017-01-01,2017.0,1.0,JAN,ENAV,ANSP (AUA),1606.97,98.71,25.08,55.836,8.6,3.13.1
2017-01-01,2017.0,1.0,JAN,HCAA,ANSP (AUA),777.85,38.62,2.46,14.436,1.56,3.13.1
2017-01-01,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),426.34,44.09,2.89,18.315,4.9,3.13.1
2017-01-01,2017.0,1.0,JAN,IAA,ANSP (AUA),581.25,31.48,2.38,8.199,1.66,3.13.1
2017-01-01,2017.0,1.0,JAN,LFV,ANSP (AUA),697.83,25.56,4.56,13.248000000000001,2.56,3.13.1
2017-01-01,2017.0,1.0,JAN,LGS,ANSP (AUA),146.52,6.65,0.6,3.321,0.51,3.13.1
2017-01-01,2017.0,1.0,JAN,LPS,ANSP (AUA),174.22,21.3,1.89,9.107999999999999,2.24,3.13.1
2017-01-01,2017.0,1.0,JAN,LVNL,ANSP (AUA),146.27,18.95,2.91,7.389000000000001,1.72,3.13.1
2017-01-01,2017.0,1.0,JAN,M-NAV,ANSP (AUA),35.96,1.54,0.14,0.423,0.02,3.13.1
2017-01-01,2017.0,1.0,JAN,MATS,ANSP (AUA),150.57,3.78,0.23,1.107,0.23,3.13.1
2017-01-01,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),9.87,0.11,0.0,0.036000000000000004,0.0,3.13.1
2017-01-01,2017.0,1.0,JAN,MUAC,ANSP (AUA),1344.85,202.99,47.59,109.06200000000001,18.94,3.13.1
2017-01-01,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2155.93,298.45,100.64,121.83300000000001,32.13,3.13.1
2017-01-01,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),960.97,94.9,7.83,27.971999999999998,1.49,3.13.1
2017-01-01,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),317.47,16.9,2.8,9.0,1.16,3.13.1
2017-01-01,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),101.71,3.8,0.3,1.809,0.31,3.13.1
2017-01-01,2017.0,1.0,JAN,PANSA,ANSP (AUA),751.39,44.86,5.8,22.905,5.57,3.13.1
2017-01-01,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),625.57,65.68,2.38,22.401,6.22,3.13.1
2017-01-01,2017.0,1.0,JAN,SMATSA,ANSP (AUA),391.93,34.13,1.66,16.344,1.46,3.13.1
2017-01-01,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),100.21,9.45,0.33,2.8080000000000003,0.4,3.13.1
2017-01-01,2017.0,1.0,JAN,Skyguide,ANSP (AUA),548.84,77.71,21.8,43.677,10.61,3.13.1
2017-01-01,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),83.55,8.18,0.68,4.77,0.29,3.13.1
2017-01-01,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),200.01,3.6,0.25,1.197,0.18,3.13.1
2017-01-01,2017.0,1.0,JAN,skeyes,ANSP (AUA),104.34,8.41,2.96,4.113,1.77,3.13.1
2017-01-02,2017.0,1.0,JAN,ANS CR,ANSP (AUA),608.28,114.33,14.94,54.108,12.66,3.13.1
2017-01-02,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),200.9,5.17,1.04,1.782,0.84,3.13.1
2017-01-02,2017.0,1.0,JAN,ARMATS,ANSP (AUA),29.62,0.84,0.05,0.15300000000000002,0.06,3.13.1
2017-01-02,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),66.51,3.69,0.08,1.323,0.12,3.13.1
2017-01-02,2017.0,1.0,JAN,Austro Control,ANSP (AUA),579.85,65.67,12.33,36.18000000000001,10.25,3.13.1
2017-01-02,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),639.52,20.03,4.84,7.479000000000001,3.5,3.13.1
2017-01-02,2017.0,1.0,JAN,BULATSA,ANSP (AUA),539.9,67.84,4.2,20.817,3.36,3.13.1
2017-01-02,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),378.24,27.48,1.82,16.686,1.67,3.13.1
2017-01-02,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),365.29,24.01,3.54,8.325000000000001,1.23,3.13.1
2017-01-02,2017.0,1.0,JAN,DFS,ANSP (AUA),2674.91,416.47,97.7,230.49000000000004,57.64,3.13.1
2017-01-02,2017.0,1.0,JAN,DHMI,ANSP (AUA),2841.2,496.86,83.81,127.47599999999998,46.36,3.13.1
2017-01-02,2017.0,1.0,JAN,DSNA,ANSP (AUA),5047.3,834.17,130.07,343.638,73.51,3.13.1
2017-01-02,2017.0,1.0,JAN,EANS,ANSP (AUA),167.6,7.86,1.35,2.538,0.95,3.13.1
2017-01-02,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),3046.52,351.87,42.62,121.608,15.89,3.13.1
2017-01-02,2017.0,1.0,JAN,ENAV,ANSP (AUA),2023.44,137.34,36.59,77.274,14.3,3.13.1
2017-01-02,2017.0,1.0,JAN,HCAA,ANSP (AUA),862.24,39.95,3.68,15.939000000000002,2.85,3.13.1
2017-01-02,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),525.51,62.18,4.59,28.314,6.9,3.13.1
2017-01-02,2017.0,1.0,JAN,IAA,ANSP (AUA),568.04,33.71,2.84,9.279,2.33,3.13.1
2017-01-02,2017.0,1.0,JAN,LFV,ANSP (AUA),879.94,36.5,6.51,18.414,4.5,3.13.1
2017-01-02,2017.0,1.0,JAN,LGS,ANSP (AUA),194.28,10.27,0.82,4.779,1.01,3.13.1
2017-01-02,2017.0,1.0,JAN,LPS,ANSP (AUA),236.23,34.05,2.97,16.218,4.1,3.13.1
2017-01-02,2017.0,1.0,JAN,LVNL,ANSP (AUA),191.54,32.23,4.16,11.871,3.51,3.13.1
2017-01-02,2017.0,1.0,JAN,M-NAV,ANSP (AUA),41.32,1.27,0.22,0.5040000000000001,0.04,3.13.1
2017-01-02,2017.0,1.0,JAN,MATS,ANSP (AUA),170.59,4.81,0.34,1.665,0.29,3.13.1
2017-01-02,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),13.47,0.1,0.01,0.054,0.01,3.13.1
2017-01-02,2017.0,1.0,JAN,MUAC,ANSP (AUA),1625.28,280.84,63.62,147.87,26.81,3.13.1
2017-01-02,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2766.64,475.68,179.02,203.364,66.27,3.13.1
2017-01-02,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),1078.72,97.53,11.14,34.614000000000004,2.55,3.13.1
2017-01-02,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),430.47,25.65,3.9,13.104000000000001,2.43,3.13.1
2017-01-02,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),127.04,4.83,0.49,2.178,0.4,3.13.1
2017-01-02,2017.0,1.0,JAN,PANSA,ANSP (AUA),1020.42,71.3,9.38,36.837,7.96,3.13.1
2017-01-02,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),731.62,72.91,3.86,25.11,7.83,3.13.1
2017-01-02,2017.0,1.0,JAN,SMATSA,ANSP (AUA),444.7,42.69,2.72,20.331,2.19,3.13.1
2017-01-02,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),126.6,15.46,0.75,4.689,0.37,3.13.1
2017-01-02,2017.0,1.0,JAN,Skyguide,ANSP (AUA),717.98,125.24,42.27,71.50500000000001,23.1,3.13.1
2017-01-02,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),85.8,6.93,0.79,4.212,0.37,3.13.1
2017-01-02,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),295.49,7.29,0.92,2.484,0.64,3.13.1
