FLT_DATE,YEAR,MONTH_NUM,MONTH_MON,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2017-01-01,2017.0,1.0,JAN,ANS CR,ANSP (AUA),450.52,65.6,8.18,34.5,6.795,3.13.1
2017-01-01,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),164.11,3.21,0.67,1.22,0.27,3.13.1
2017-01-01,2017.0,1.0,JAN,ARMATS,ANSP (AUA),31.89,1.26,0.1,0.21,0.06300000000000001,3.13.1
2017-01-01,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),73.24,5.8,0.07,1.95,0.135,3.13.1
2017-01-01,2017.0,1.0,JAN,Austro Control,ANSP (AUA),430.72,43.61,6.22,25.32,4.716,3.13.1
2017-01-01,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),504.52,14.63,3.5,6.85,2.169,3.13.1
2017-01-01,2017.0,1.0,JAN,BULATSA,ANSP (AUA),517.36,65.53,4.39,22.44,3.015,3.13.1
2017-01-01,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),346.53,27.02,1.39,17.04,0.8280000000000001,3.13.1
2017-01-01,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),354.81,25.52,3.25,10.78,0.8370000000000001,3.13.1
2017-01-01,2017.0,1.0,JAN,DFS,ANSP (AUA),1997.58,254.72,56.59,159.28,29.205000000000002,3.13.1
2017-01-01,2017.0,1.0,JAN,DHMI,ANSP (AUA),2742.21,429.95,62.22,131.61,25.038,3.13.1
2017-01-01,2017.0,1.0,JAN,DSNA,ANSP (AUA),4265.24,662.7,92.85,299.17,32.436,3.13.1
2017-01-01,2017.0,1.0,JAN,EANS,ANSP (AUA),149.75,7.38,1.2,2.89,0.531,3.13.1
2017-01-01,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2707.83,311.97,31.82,111.76,8.136,3.13.1
2017-01-01,2017.0,1.0,JAN,ENAV,ANSP (AUA),1606.97,98.71,25.08,62.04,7.74,3.13.1
2017-01-01,2017.0,1.0,JAN,HCAA,ANSP (AUA),777.85,38.62,2.46,16.04,1.4040000000000001,3.13.1
2017-01-01,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),426.34,44.09,2.89,20.35,4.41,3.13.1
2017-01-01,2017.0,1.0,JAN,IAA,ANSP (AUA),581.25,31.48,2.38,9.11,1.494,3.13.1
2017-01-01,2017.0,1.0,JAN,LFV,ANSP (AUA),697.83,25.56,4.56,14.72,2.3040000000000003,3.13.1
2017-01-01,2017.0,1.0,JAN,LGS,ANSP (AUA),146.52,6.65,0.6,3.69,0.459,3.13.1
2017-01-01,2017.0,1.0,JAN,LPS,ANSP (AUA),174.22,21.3,1.89,10.12,2.0160000000000005,3.13.1
2017-01-01,2017.0,1.0,JAN,LVNL,ANSP (AUA),146.27,18.95,2.91,8.21,1.548,3.13.1
2017-01-01,2017.0,1.0,JAN,M-NAV,ANSP (AUA),35.96,1.54,0.14,0.47,0.018000000000000002,3.13.1
2017-01-01,2017.0,1.0,JAN,MATS,ANSP (AUA),150.57,3.78,0.23,1.23,0.20700000000000002,3.13.1
2017-01-01,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),9.87,0.11,0.0,0.04,0.0,3.13.1
2017-01-01,2017.0,1.0,JAN,MUAC,ANSP (AUA),1344.85,202.99,47.59,121.18,17.046000000000003,3.13.1
