MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
1.0,JAN,01-01-2017,ANS CR,ANSP (AUA),450.52,65.6,7.362,34.5,7.55,3.13.1
1.0,JAN,01-01-2017,ANS Finland,ANSP (AUA),164.11,3.21,0.6030000000000001,1.22,0.3,3.13.1
1.0,JAN,01-01-2017,ARMATS,ANSP (AUA),31.89,1.26,0.09000000000000001,0.21,0.07,3.13.1
1.0,JAN,01-01-2017,Albcontrol,ANSP (AUA),73.24,5.8,0.06300000000000001,1.95,0.15,3.13.1
1.0,JAN,01-01-2017,Austro Control,ANSP (AUA),430.72,43.61,5.598,25.32,5.24,3.13.1
1.0,JAN,01-01-2017,Avinor (Continental),ANSP (AUA),504.52,14.63,3.15,6.85,2.41,3.13.1
1.0,JAN,01-01-2017,BULATSA,ANSP (AUA),517.36,65.53,3.9509999999999996,22.44,3.35,3.13.1
1.0,JAN,01-01-2017,Croatia Control,ANSP (AUA),346.53,27.02,1.251,17.04,0.92,3.13.1
1.0,JAN,01-01-2017,DCAC Cyprus,ANSP (AUA),354.81,25.52,2.9250000000000003,10.78,0.93,3.13.1
1.0,JAN,01-01-2017,DFS,ANSP (AUA),1997.58,254.72,50.931000000000004,159.28,32.45,3.13.1
1.0,JAN,01-01-2017,DHMI,ANSP (AUA),2742.21,429.95,55.998,131.61,27.82,3.13.1
1.0,JAN,01-01-2017,DSNA,ANSP (AUA),4265.24,662.7,83.565,299.17,36.04,3.13.1
1.0,JAN,01-01-2017,EANS,ANSP (AUA),149.75,7.38,1.08,2.89,0.59,3.13.1
1.0,JAN,01-01-2017,ENAIRE,ANSP (AUA),2707.83,311.97,28.638,111.76,9.04,3.13.1
1.0,JAN,01-01-2017,ENAV,ANSP (AUA),1606.97,98.71,22.572,62.04,8.6,3.13.1
1.0,JAN,01-01-2017,HCAA,ANSP (AUA),777.85,38.62,2.214,16.04,1.56,3.13.1
