ANSP,MSE
ANS CR,0.7720067178437794
ANS Finland,0.18937226426638037
ARMATS,0.056124032939170974
Albcontrol,0.42363081457372326
Austro Control,0.7732295115008364
Avinor (Continental),0.21390140821898795
BULATSA,0.3392270902233227
Croatia Control,0.8369973127528805
DCAC Cyprus,0.2408173441521733
DFS,0.6478262889177534
DHMI,0.3119345663852093
DSNA,0.28399775166507224
EANS,0.04785528557866867
ENAIRE,0.22515179188125028
ENAV,0.3767436209016671
HCAA,0.1400337112901781
HungaroControl,0.42818269718169094
IAA,0.3850151986637407
LFV,0.163603614048643
LGS,0.060117737374399516
LPS,0.645005065734643
LVNL,1.3166854007932105
M-NAV,0.6486636967014389
MATS,0.056038673094297976
MOLDATSA,0.03452267401557473
MUAC,0.6864807085340605
NATS (Continental),1.9465539712238575
NAV Portugal (Continental),0.14654859290177427
NAVIAIR,0.2983253172732768
Oro Navigacija,0.07705247604201805
PANSA,0.21269899577787385
ROMATSA,0.25439895415981684
SMATSA,0.9146159546832359
Sakaeronavigatsia,1.2393983351800004
Skyguide,1.1931588772090533
Slovenia Control,2.138443507683639
UkSATSE,0.04258861206144385
skeyes,4.315112846948774
