ANSP, Total MAPE, Componentwise MAPE
Austro Control,0.07930170125937679,0.09906159410635798
DHMI,0.08015965009237372,0.24496941528478652
BULATSA,0.08953155340086598,0.0972340129694895
DCAC Cyprus,0.11853193483300861,0.41999448454407146
ARMATS,0.23032826723299646,0.2372720194268859
ANS CR,0.08513067158906319,0.07772704115336444
EANS,0.07765808936407502,0.0783177123736798
ENAV,0.07275107813772799,0.1337504401782153
Croatia Control,0.09983482986131036,0.1775448799931063
DSNA,0.05352421574490958,0.08138289001935597
Avinor (Continental),0.21143603572811145,0.20234662005171863
ENAIRE,0.06972660319491447,0.06556903268850467
ANS Finland,0.23231689165603162,0.23116834655665486
Albcontrol,0.14738783694103155,0.14905712606615415
DFS,0.05693045791930335,0.06659140225562626
HCAA,0.08222406405392735,0.0952502599863473
HungaroControl,0.07092686786561447,0.05983480625622805
M-NAV,0.13314604686160392,0.17623626928240815
MOLDATSA,0.26427219312342637,0.24171255352598425
LFV,0.10327407739478242,0.10200333525379496
LPS,0.09183757564499449,0.08542449293620906
NATS (Continental),0.10400858845990718,0.4313412338122205
PANSA,0.07624711942522501,0.08696370163219896
NAVIAIR,0.11687702985192697,0.18621463365816954
IAA,0.2135483467560841,0.28301213223963323
MATS,0.17659993613691682,0.20368528488213064
MUAC,0.059156650731317914,0.19430233583258366
LGS,0.07442135105724365,0.07240048738950647
LVNL,0.09750724343391967,0.09993075782168545
NAV Portugal (Continental),0.0933800110671464,0.5159489205236555
Oro Navigacija,0.0887008644732626,0.0939344839163593
ROMATSA,0.09285760097744632,0.07932025494819862
SMATSA,0.09966033149664266,0.33736553553416987
Skyguide,0.06828202397003061,0.0923756714774003
UkSATSE,0.10646655231339235,0.13740330123052497
Slovenia Control,0.12136762494038732,0.14016108443104894
Sakaeronavigatsia,0.441655751726279,0.5274768467961175
skeyes,0.17259240575691637,0.15138019913754952
DHMI,0.08015965009237372,0.24496941528478652
BULATSA,0.08953155340086598,0.0972340129694895
ANS CR,0.08513067158906319,0.07772704115336444
Austro Control,0.07930170125937679,0.09906159410635798
ENAV,0.07275107813772799,0.1337504401782153
ARMATS,0.23032826723299646,0.2372720194268859
DCAC Cyprus,0.11853193483300861,0.41999448454407146
EANS,0.07765808936407502,0.0783177123736798
DSNA,0.05352421574490958,0.08138289001935597
Albcontrol,0.14738783694103155,0.14905712606615415
ANS Finland,0.23231689165603162,0.23116834655665486
ENAIRE,0.06972660319491447,0.06556903268850467
HCAA,0.08222406405392735,0.0952502599863473
DFS,0.05693045791930335,0.06659140225562626
Croatia Control,0.09983482986131036,0.1775448799931063
Avinor (Continental),0.21143603572811145,0.20234662005171863
HungaroControl,0.07092686786561447,0.05983480625622805
LPS,0.09183757564499449,0.08542449293620906
LFV,0.10327407739478242,0.10200333525379496
M-NAV,0.13314604686160392,0.17623626928240815
NATS (Continental),0.10400858845990718,0.4313412338122205
PANSA,0.07624711942522501,0.08696370163219896
MOLDATSA,0.26427219312342637,0.24171255352598425
NAVIAIR,0.11687702985192697,0.18621463365816954
IAA,0.2135483467560841,0.28301213223963323
LGS,0.07442135105724365,0.07240048738950647
ROMATSA,0.09285760097744632,0.07932025494819862
NAV Portugal (Continental),0.0933800110671464,0.5159489205236555
LVNL,0.09750724343391967,0.09993075782168545
MUAC,0.059156650731317914,0.19430233583258366
Oro Navigacija,0.0887008644732626,0.0939344839163593
SMATSA,0.09966033149664266,0.33736553553416987
UkSATSE,0.10646655231339235,0.13740330123052497
Skyguide,0.06828202397003061,0.0923756714774003
Sakaeronavigatsia,0.441655751726279,0.5274768467961175
Slovenia Control,0.12136762494038732,0.14016108443104894
skeyes,0.17259240575691637,0.15138019913754952
