YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2014,1,JAN,01-01-2014,ANS CR,ANSP (AUA),343.77,42.30,4.55,20.61,6.08,3.6
2014,1,JAN,01-01-2014,ARMATS,ANSP (AUA),30.13,1.04,0.03,0.35,0.12,3.6
2014,1,JAN,01-01-2014,Albcontrol,ANSP (AUA),61.37,3.78,0.10,1.28,0.12,3.6
2014,1,JAN,01-01-2014,Austro Control,ANSP (AUA),342.63,30.11,4.89,16.69,6.06,3.6
2014,1,JAN,01-01-2014,Avinor (Continental),ANSP (AUA),395.53,11.07,2.76,5.28,2.24,3.6
2014,1,JAN,01-01-2014,BULATSA,ANSP (AUA),275.19,24.25,2.01,5.77,0.48,3.6
2014,1,JAN,01-01-2014,Belgocontrol,ANSP (AUA),79.97,4.86,1.78,2.73,1.97,3.6
2014,1,JAN,01-01-2014,Croatia Control,ANSP (AUA),269.81,22.11,0.86,10.83,0.94,3.6
2014,1,JAN,01-01-2014,DCAC Cyprus,ANSP (AUA),280.18,18.97,3.06,7.51,1.71,3.6
2014,1,JAN,01-01-2014,DFS,ANSP (AUA),1563.05,171.27,37.98,101.26,33.73,3.6
2014,1,JAN,01-01-2014,DHMI,ANSP (AUA),1949.93,246.00,39.66,84.28,36.71,3.6
2014,1,JAN,01-01-2014,DSNA,ANSP (AUA),3173.99,383.72,52.51,160.50,43.58,3.6
2014,1,JAN,01-01-2014,EANS,ANSP (AUA),109.93,5.19,0.68,1.76,0.98,3.6
2014,1,JAN,01-01-2014,ENAIRE,ANSP (AUA),2071.47,188.14,22.16,69.86,22.20,3.6
2014,1,JAN,01-01-2014,ENAV,ANSP (AUA),1426.74,82.12,19.55,46.37,9.00,3.6
2014,1,JAN,01-01-2014,Finavia,ANSP (AUA),121.54,2.37,0.42,0.65,0.60,3.6
2014,1,JAN,01-01-2014,HCAA,ANSP (AUA),608.51,25.69,1.49,10.13,1.84,3.6
2014,1,JAN,01-01-2014,HungaroControl,ANSP (AUA),280.83,23.78,1.27,9.64,2.05,3.6
2014,1,JAN,01-01-2014,IAA,ANSP (AUA),357.76,15.83,1.26,3.82,2.38,3.6
2014,1,JAN,01-01-2014,LFV,ANSP (AUA),521.70,19.15,2.59,8.95,3.10,3.6
2014,1,JAN,01-01-2014,LGS,ANSP (AUA),116.88,5.34,0.45,2.36,0.53,3.6
2014,1,JAN,01-01-2014,LPS,ANSP (AUA),152.22,16.59,1.21,7.92,1.59,3.6
2014,1,JAN,01-01-2014,LVNL,ANSP (AUA),119.69,13.83,2.07,6.10,4.68,3.6
2014,1,JAN,01-01-2014,M-NAV,ANSP (AUA),20.50,0.40,0.08,0.21,0.06,3.6
2014,1,JAN,01-01-2014,MATS,ANSP (AUA),129.34,4.19,0.18,1.59,1.28,3.6
2014,1,JAN,01-01-2014,MUAC,ANSP (AUA),1023.96,118.90,26.75,68.77,17.84,3.6
2014,1,JAN,01-01-2014,MoldATSA,ANSP (AUA),25.28,0.76,0.02,0.23,0.01,3.6
2014,1,JAN,01-01-2014,NATS (Continental),ANSP (AUA),1599.79,195.40,71.12,85.49,57.21,3.6
2014,1,JAN,01-01-2014,NAV Portugal (Continental),ANSP (AUA),611.34,37.97,3.93,11.08,2.71,3.6
2014,1,JAN,01-01-2014,NAVIAIR,ANSP (AUA),260.02,12.18,1.83,6.85,1.97,3.6
2014,1,JAN,01-01-2014,Oro Navigacija,ANSP (AUA),77.51,3.01,0.08,1.34,0.36,3.6
2014,1,JAN,01-01-2014,PANSA,ANSP (AUA),583.74,31.18,3.38,14.27,4.48,3.6
2014,1,JAN,01-01-2014,ROMATSA,ANSP (AUA),468.47,33.06,0.81,10.66,2.11,3.6
2014,1,JAN,01-01-2014,SMATSA,ANSP (AUA),249.40,16.80,0.53,7.21,0.91,3.6
2014,1,JAN,01-01-2014,Sakaeronavigatsia,ANSP (AUA),110.97,6.61,0.14,2.09,0.59,3.6
2014,1,JAN,01-01-2014,Skyguide,ANSP (AUA),408.32,46.08,12.22,28.26,8.09,3.6
2014,1,JAN,01-01-2014,Slovenia Control,ANSP (AUA),59.52,5.15,0.47,3.22,0.54,3.6
2014,1,JAN,01-01-2014,UkSATSE,ANSP (AUA),647.16,29.62,1.02,9.96,3.75,3.6
2014,1,JAN,02-01-2014,ANS CR,ANSP (AUA),478.88,66.31,8.79,36.68,9.62,3.6
2014,1,JAN,02-01-2014,ARMATS,ANSP (AUA),35.26,0.82,0.04,0.31,0.08,3.6
2014,1,JAN,02-01-2014,Albcontrol,ANSP (AUA),76.77,7.32,0.10,2.15,0.12,3.6
2014,1,JAN,02-01-2014,Austro Control,ANSP (AUA),515.94,64.50,12.42,34.94,11.50,3.6
2014,1,JAN,02-01-2014,Avinor (Continental),ANSP (AUA),604.22,19.95,5.52,9.55,5.33,3.6
2014,1,JAN,02-01-2014,BULATSA,ANSP (AUA),334.02,32.56,3.23,7.67,1.71,3.6
2014,1,JAN,02-01-2014,Belgocontrol,ANSP (AUA),124.75,10.62,3.95,5.65,4.55,3.6
2014,1,JAN,02-01-2014,Croatia Control,ANSP (AUA),343.70,34.99,1.69,17.08,1.46,3.6
2014,1,JAN,02-01-2014,DCAC Cyprus,ANSP (AUA),334.43,26.59,3.63,11.17,2.47,3.6
2014,1,JAN,02-01-2014,DFS,ANSP (AUA),2241.59,308.00,78.72,180.75,68.86,3.6
2014,1,JAN,02-01-2014,DHMI,ANSP (AUA),2246.54,341.33,44.68,102.75,64.64,3.6
2014,1,JAN,02-01-2014,DSNA,ANSP (AUA),4012.80,544.81,79.48,237.08,76.89,3.6
2014,1,JAN,02-01-2014,EANS,ANSP (AUA),150.11,8.22,1.04,2.57,1.42,3.6
2014,1,JAN,02-01-2014,ENAIRE,ANSP (AUA),2535.16,249.41,32.26,96.12,36.78,3.6
2014,1,JAN,02-01-2014,ENAV,ANSP (AUA),1877.78,130.79,33.05,73.27,20.44,3.6
2014,1,JAN,02-01-2014,Finavia,ANSP (AUA),179.60,4.34,0.83,1.26,1.30,3.6
2014,1,JAN,02-01-2014,HCAA,ANSP (AUA),750.20,39.41,2.72,13.99,2.84,3.6
2014,1,JAN,02-01-2014,HungaroControl,ANSP (AUA),413.45,46.84,2.58,19.87,3.92,3.6
2014,1,JAN,02-01-2014,IAA,ANSP (AUA),454.93,26.01,1.86,6.24,4.85,3.6
2014,1,JAN,02-01-2014,LFV,ANSP (AUA),789.76,32.15,5.59,16.44,5.62,3.6
2014,1,JAN,02-01-2014,LGS,ANSP (AUA),171.10,9.76,0.98,4.60,0.94,3.6
2014,1,JAN,02-01-2014,LPS,ANSP (AUA),262.22,44.97,3.31,22.61,4.30,3.6
2014,1,JAN,02-01-2014,LVNL,ANSP (AUA),167.53,26.90,4.30,10.67,10.14,3.6
2014,1,JAN,02-01-2014,M-NAV,ANSP (AUA),28.91,0.87,0.15,0.41,0.06,3.6
2014,1,JAN,02-01-2014,MATS,ANSP (AUA),153.61,4.88,0.23,2.13,1.30,3.6
2014,1,JAN,02-01-2014,MUAC,ANSP (AUA),1304.68,193.96,45.10,107.35,29.08,3.6
2014,1,JAN,02-01-2014,MoldATSA,ANSP (AUA),29.59,0.66,0.02,0.34,0.04,3.6
2014,1,JAN,02-01-2014,NATS (Continental),ANSP (AUA),2253.21,329.30,124.34,145.10,99.39,3.6
2014,1,JAN,02-01-2014,NAV Portugal (Continental),ANSP (AUA),799.03,47.15,6.03,17.21,4.03,3.6
2014,1,JAN,02-01-2014,NAVIAIR,ANSP (AUA),365.57,20.21,3.73,11.52,3.80,3.6
2014,1,JAN,02-01-2014,Oro Navigacija,ANSP (AUA),104.92,3.85,0.32,1.99,0.44,3.6
2014,1,JAN,02-01-2014,PANSA,ANSP (AUA),853.81,53.93,7.53,26.95,11.11,3.6
2014,1,JAN,02-01-2014,ROMATSA,ANSP (AUA),598.92,52.52,2.10,17.32,3.10,3.6
